INTLDES,NORAD_CAT_ID,OBJECT_NAME,APOGEE,PERIGEE
2020-019AZ,45407,STARLINK-1275,548,546
2020-035W,45677,STARLINK-1392,548,546
2020-035AC,45683,STARLINK-1399,548,546
2020-035BJ,45713,STARLINK-1436,548,546
2020-038R,45745,STARLINK-1503,548,546
2020-057L,46127,STARLINK-1621,549,546
2020-062B,46326,STARLINK-1654,548,546
2020-062BC,46375,STARLINK-1724,548,546
2020-062BM,46384,STARLINK-1771,548,546
2020-070BE,46584,STARLINK-1732,549,546
2020-073BE,46722,STARLINK-1825,548,546
2020-074BE,46791,STARLINK-1933,548,546
2021-005K,47358,STARLINK-2055,548,546
2021-005AL,47383,STARLINK-2103,548,546
2021-005BL,47407,STARLINK-2134,548,546
2021-009T,47565,STARLINK-1964,548,546
2021-009AE,47576,STARLINK-1978,548,546
2021-012V,47639,STARLINK-2016,548,546
2021-012X,47641,STARLINK-2019,548,546
2021-012AB,47645,STARLINK-2027,548,546
2021-012AH,47651,STARLINK-2035,548,546
2021-021X,47881,STARLINK-2339,548,546
2021-021BC,47910,STARLINK-2370,548,546
2021-024BK,48034,STARLINK-2288,548,546
2021-027B,48093,STARLINK-2404,549,546
2021-027Q,48106,STARLINK-2442,548,546
2021-036T,48293,STARLINK-2550,548,546
2021-038K,48362,STARLINK-2578,548,546
2021-038V,48372,STARLINK-2572,548,546
2021-038X,48374,STARLINK-2604,548,546
2021-038AA,48377,STARLINK-2499,548,546
2021-038AG,48383,STARLINK-2599,548,546
2021-038AX,48398,STARLINK-2588,548,546
2021-038BH,48408,STARLINK-2592,548,546
2021-040AW,48472,STARLINK-2722,548,546
2021-041T,48570,STARLINK-2220,549,546
2021-044AZ,48685,STARLINK-2751,548,546
2021-104M,49419,STARLINK-3120,542,538
2021-104AB,49433,STARLINK-3079,542,538
2021-115Q,49738,STARLINK-3143,542,538
2021-115W,49744,STARLINK-3231,542,538
2021-125AH,50187,STARLINK-3272,541,538
2022-001E,50807,STARLINK-3353,542,538
2022-005C,51106,STARLINK-3176,542,537
2022-005M,51115,STARLINK-3397,542,538
2022-005V,51123,STARLINK-3392,542,538
2022-005W,51124,STARLINK-3389,542,538
2022-010M,51467,STARLINK-3178,542,537
2022-016AE,51742,STARLINK-3521,542,538
2022-016AW,51758,STARLINK-3458,542,538
2022-017AT,51809,STARLINK-3607,542,538
2022-022AM,51887,STARLINK-3551,542,538
2022-041AS,52301,STARLINK-3768,542,538
2022-045AT,52372,STARLINK-3796,542,538
2022-045BD,52382,STARLINK-3799,544,535
2022-049U,52469,STARLINK-3828,541,538
2022-051P,52546,STARLINK-3948,542,538
2022-051T,52550,STARLINK-3965,542,538
2022-051AZ,52583,STARLINK-3895,542,538
2022-052AN,52634,STARLINK-3974,542,538
2022-053A,52656,STARLINK-4004,541,538
2022-053H,52663,STARLINK-4037,542,538
2022-053AF,52685,STARLINK-4029,542,538
2022-053AS,52696,STARLINK-4025,542,538
2022-053AU,52698,STARLINK-4030,542,538
2022-062X,52851,STARLINK-3809,542,537
2022-062AM,52865,STARLINK-4274,542,538
2022-062AV,52873,STARLINK-4211,541,538
2022-077AG,53073,STARLINK-4346,565,561
2022-083Z,53155,STARLINK-4088,541,538
2022-083AP,53169,STARLINK-4117,541,538
2022-083AY,53178,STARLINK-4280,542,538
2022-084AJ,53221,STARLINK-4377,564,562
2022-086X,53263,STARLINK-4130,541,538
2022-086AG,53272,STARLINK-4122,541,538
2022-086AX,53287,STARLINK-4107,541,538
2022-086AZ,53289,STARLINK-4176,541,538
2022-086BE,53294,STARLINK-4146,541,538
2022-111W,53793,STARLINK-4728,541,538
2022-111X,53794,STARLINK-4730,541,538
2022-111AE,53801,STARLINK-4715,541,539
2022-125C,53966,STARLINK-4635,541,538
2022-136M,54062,STARLINK-5170,541,539
2013-042A,39227,KOMPSAT 5,555,551
2019-074BC,44763,STARLINK-1058,548,546
2020-001D,44917,STARLINK-1098,548,546
2020-001P,44927,STARLINK-1114,548,546
2020-001V,44933,STARLINK-1144,548,546
2020-006BG,45098,STARLINK-1184,548,546
2020-012L,45188,STARLINK-1228,548,546
2020-012BB,45227,STARLINK-1221,548,546
2020-019BA,45408,STARLINK-1278,549,546
2020-025AZ,45578,STARLINK-1331,548,546
2020-035R,45672,STARLINK-1455,549,546
2020-035AE,45685,STARLINK-1402,548,546
2020-035AS,45697,STARLINK-1351,548,546
2020-035BK,45714,STARLINK-1437,548,546
