INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2022-099G,53471,PAYLOAD,STARLINK-4316,US,2022-08-12,AFWTR,,95.92,97.65,564,562,,,0,LARGE,8270,2022,99,G,Y,STARLINK-4316,2022-099G,53471
2022-099H,53472,PAYLOAD,STARLINK-4447,US,2022-08-12,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,99,H,Y,STARLINK-4447,2022-099H,53472
2022-099K,53474,PAYLOAD,STARLINK-4445,US,2022-08-12,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,99,K,Y,STARLINK-4445,2022-099K,53474
2022-099AB,53490,PAYLOAD,STARLINK-4387,US,2022-08-12,AFWTR,,95.92,97.66,564,562,,,0,LARGE,8270,2022,99,AB,Y,STARLINK-4387,2022-099AB,53490
2022-099AU,53507,PAYLOAD,STARLINK-4444,US,2022-08-12,AFWTR,,95.92,97.65,563,563,,,0,LARGE,8270,2022,99,AU,Y,STARLINK-4444,2022-099AU,53507
2022-101J,53535,PAYLOAD,STARLINK-4138,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,J,Y,STARLINK-4138,2022-101J,53535
2022-101K,53536,PAYLOAD,STARLINK-4053,US,2022-08-19,AFETR,,95.54,53.22,546,543,,,0,LARGE,8270,2022,101,K,Y,STARLINK-4053,2022-101K,53536
2022-101M,53538,PAYLOAD,STARLINK-4118,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,M,Y,STARLINK-4118,2022-101M,53538
2022-101T,53544,PAYLOAD,STARLINK-4303,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,T,Y,STARLINK-4303,2022-101T,53544
2022-101Y,53549,PAYLOAD,STARLINK-4516,US,2022-08-19,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,101,Y,Y,STARLINK-4516,2022-101Y,53549
2022-101Z,53550,PAYLOAD,STARLINK-4518,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,Z,Y,STARLINK-4518,2022-101Z,53550
2022-101AC,53553,PAYLOAD,STARLINK-4501,US,2022-08-19,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,101,AC,Y,STARLINK-4501,2022-101AC,53553
2022-101AJ,53559,PAYLOAD,STARLINK-4508,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,AJ,Y,STARLINK-4508,2022-101AJ,53559
2022-101AQ,53565,PAYLOAD,STARLINK-4575,US,2022-08-19,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,101,AQ,Y,STARLINK-4575,2022-101AQ,53565
2022-101AR,53566,PAYLOAD,STARLINK-4576,US,2022-08-19,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,101,AR,Y,STARLINK-4576,2022-101AR,53566
2022-101AY,53573,PAYLOAD,STARLINK-4547,US,2022-08-19,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,101,AY,Y,STARLINK-4547,2022-101AY,53573
2022-101BD,53578,PAYLOAD,STARLINK-4556,US,2022-08-19,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,101,BD,Y,STARLINK-4556,2022-101BD,53578
2022-104C,53590,PAYLOAD,STARLINK-4689,US,2022-08-28,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,104,C,Y,STARLINK-4689,2022-104C,53590
2022-104P,53601,PAYLOAD,STARLINK-4675,US,2022-08-28,AFETR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,104,P,Y,STARLINK-4675,2022-104P,53601
2022-104U,53606,PAYLOAD,STARLINK-4590,US,2022-08-28,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,104,U,Y,STARLINK-4590,2022-104U,53606
2022-104W,53608,PAYLOAD,STARLINK-4647,US,2022-08-28,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,104,W,Y,STARLINK-4647,2022-104W,53608
